x;y;z
-10.0054;-13.3813;-18.8905
-10.0055;-13.3814;-18.8905
-10.0055;-13.3814;-18.8906
-10.0055;-13.3815;-18.8907
-10.0055;-13.3815;-18.8908
-10.0056;-13.3816;-18.8909
-10.0056;-13.3817;-18.891
-10.0056;-13.3817;-18.8911
-10.0057;-13.3818;-18.8912
-10.0057;-13.3819;-18.8913
-10.0057;-13.3819;-18.8914
-10.0058;-13.382;-18.8915
-10.0058;-13.3821;-18.8916
-10.0058;-13.3821;-18.8916
-10.0058;-13.3822;-18.8917
-10.0059;-13.3823;-18.8918
-10.0059;-13.3823;-18.8919
-10.0059;-13.3824;-18.892
-10.006;-13.3825;-18.8921
-10.006;-13.3825;-18.8922
-10.006;-13.3826;-18.8923
-10.0061;-13.3826;-18.8924
-10.0061;-13.3827;-18.8925
-10.0061;-13.3828;-18.8926
-10.0062;-13.3828;-18.8927
-10.0062;-13.3829;-18.8927
-10.0062;-13.383;-18.8928
-10.0062;-13.383;-18.8929
-10.0063;-13.3831;-18.893
-10.0063;-13.3832;-18.8931
-10.0063;-13.3832;-18.8932
-10.0064;-13.3833;-18.8933
-10.0064;-13.3834;-18.8934
-10.0064;-13.3834;-18.8935
-10.0065;-13.3835;-18.8936
-10.0065;-13.3836;-18.8937
-10.0065;-13.3836;-18.8938
-10.0066;-13.3837;-18.8938
-10.0066;-13.3837;-18.8939
-10.0066;-13.3838;-18.894
-10.0066;-13.3839;-18.8941
-10.0067;-13.3839;-18.8942
-10.0067;-13.384;-18.8943
-10.0067;-13.3841;-18.8944
-10.0068;-13.3841;-18.8945
-10.0068;-13.3842;-18.8946
-10.0068;-13.3843;-18.8947
-10.0069;-13.3843;-18.8948
-10.0069;-13.3844;-18.8949
-10.0069;-13.3845;-18.8949
-10.0069;-13.3845;-18.895
-10.007;-13.3846;-18.8951
-10.007;-13.3847;-18.8952
-10.007;-13.3847;-18.8953
-10.0071;-13.3848;-18.8954
-10.0071;-13.3849;-18.8955
-10.0071;-13.3849;-18.8956
-10.0072;-13.385;-18.8957
-10.0072;-13.385;-18.8958
-10.0072;-13.3851;-18.8959
-10.0073;-13.3852;-18.896
-10.0073;-13.3852;-18.896
-10.0073;-13.3853;-18.8961
-10.0073;-13.3854;-18.8962
-10.0074;-13.3854;-18.8963
-10.0074;-13.3855;-18.8964
-10.0074;-13.3856;-18.8965
-10.0075;-13.3856;-18.8966
-10.0075;-13.3857;-18.8967
-10.0075;-13.3858;-18.8968
-10.0076;-13.3858;-18.8969
-10.0076;-13.3859;-18.897
-10.0076;-13.386;-18.897
-10.0077;-13.386;-18.8971
-10.0077;-13.3861;-18.8972
-10.0077;-13.3861;-18.8973
-10.0077;-13.3862;-18.8974
-10.0078;-13.3863;-18.8975
-10.0078;-13.3863;-18.8976
-10.0078;-13.3864;-18.8977
-10.0079;-13.3865;-18.8978
-10.0079;-13.3865;-18.8979
-10.0079;-13.3866;-18.898
-10.008;-13.3867;-18.8981
-10.008;-13.3867;-18.8981
-10.008;-13.3868;-18.8982
-10.008;-13.3869;-18.8983
-10.0081;-13.3869;-18.8984
-10.0081;-13.387;-18.8985
-10.0081;-13.3871;-18.8986
-10.0082;-13.3871;-18.8987
-10.0082;-13.3872;-18.8988
-10.0082;-13.3873;-18.8989
-10.0083;-13.3873;-18.899
-10.0083;-13.3874;-18.8991
-10.0083;-13.3874;-18.8992
-10.0084;-13.3875;-18.8992
-10.0084;-13.3876;-18.8993
-10.0084;-13.3876;-18.8994
-10.0084;-13.3877;-18.8995
-10.0085;-13.3878;-18.8996
-10.0085;-13.3878;-18.8997
-10.0085;-13.3879;-18.8998
-10.0086;-13.388;-18.8999
-10.0086;-13.388;-18.9
-10.0086;-13.3881;-18.9001
-10.0087;-13.3882;-18.9002
-10.0087;-13.3882;-18.9003
-10.0087;-13.3883;-18.9003
-10.0087;-13.3884;-18.9004
-10.0088;-13.3884;-18.9005
-10.0088;-13.3885;-18.9006
-10.0088;-13.3885;-18.9007
-10.0089;-13.3886;-18.9008
-10.0089;-13.3887;-18.9009
-10.0089;-13.3887;-18.901
-10.009;-13.3888;-18.9011
-10.009;-13.3889;-18.9012
-10.009;-13.3889;-18.9013
-10.0091;-13.389;-18.9014
-10.0091;-13.3891;-18.9014
-10.0091;-13.3891;-18.9015
-10.0091;-13.3892;-18.9016
-10.0092;-13.3893;-18.9017
-10.0092;-13.3893;-18.9018
-10.0092;-13.3894;-18.9019
