xA;yA;zA;xB;yB;zB;xC;yC;zC
0;91.5109;0;-1.28713;91.2909;4.82757;1.28713;91.2909;-4.82757
0;91.5185;0;-1.32577;91.2955;4.8171;1.32577;91.2955;-4.8171
0;91.526;0;-1.36432;91.3003;4.80632;1.36432;91.3003;-4.80632
0;91.5335;0;-1.40279;91.3054;4.79524;1.40279;91.3054;-4.79524
0;91.5409;0;-1.44116;91.3107;4.78385;1.44116;91.3107;-4.78385
0;91.5484;0;-1.47944;91.3162;4.77215;1.47944;91.3162;-4.77215
0;91.5558;0;-1.51763;91.3219;4.76014;1.51763;91.3219;-4.76014
0;91.5632;0;-1.55572;91.3279;4.74783;1.55572;91.3279;-4.74783
0;91.5706;0;-1.59371;91.3342;4.73521;1.59371;91.3342;-4.73521
0;91.5779;0;-1.6316;91.3407;4.72229;1.6316;91.3407;-4.72229
0;91.5853;0;-1.66938;91.3474;4.70907;1.66938;91.3474;-4.70907
0;91.5926;0;-1.70705;91.3544;4.69554;1.70705;91.3544;-4.69554
0;91.5998;0;-1.74462;91.3616;4.68171;1.74462;91.3616;-4.68171
0;91.6071;0;-1.78207;91.369;4.66759;1.78207;91.369;-4.66759
0;91.6143;0;-1.81941;91.3767;4.65316;1.81941;91.3767;-4.65316
0;91.6215;0;-1.85663;91.3847;4.63843;1.85663;91.3847;-4.63843
0;91.6287;0;-1.89374;91.3928;4.62341;1.89374;91.3928;-4.62341
0;91.6359;0;-1.93072;91.4013;4.60809;1.93072;91.4013;-4.60809
0;91.643;0;-1.96758;91.4099;4.59247;1.96758;91.4099;-4.59247
0;91.6501;0;-2.00431;91.4188;4.57656;2.00431;91.4188;-4.57656
0;91.6572;0;-2.04091;91.428;4.56035;2.04091;91.428;-4.56035
0;91.6643;0;-2.07738;91.4373;4.54385;2.07738;91.4373;-4.54385
0;91.6713;0;-2.11372;91.447;4.52706;2.11372;91.447;-4.52706
0;91.6783;0;-2.14992;91.4568;4.50998;2.14992;91.4568;-4.50998
0;91.6853;0;-2.18599;91.4669;4.49261;2.18599;91.4669;-4.49261
0;91.6923;0;-2.22191;91.4771;4.47495;2.22191;91.4771;-4.47495
0;91.6992;0;-2.25769;91.4876;4.45701;2.25769;91.4876;-4.45701
0;91.7062;0;-2.29333;91.4984;4.43878;2.29333;91.4984;-4.43878
0;91.7131;0;-2.32882;91.5093;4.42026;2.32882;91.5093;-4.42026
0;91.72;0;-2.36416;91.5204;4.40146;2.36416;91.5204;-4.40146
0;91.7268;0;-2.39935;91.5318;4.38238;2.39935;91.5318;-4.38238
