t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3,energy,distance
1.6963,-1.66512e-07,-0.000125534,0,6.44337e-05,-0.000107749,0,0.00213566,0.00385322,0,-2.53952,1.345,0,0.0021403,0.00385803,0,-2.55639,1.32833,0,-0.0337407,0.00122826
1.75483,-1.70616e-07,-0.00012986,0,6.29608e-05,-0.000110361,0,0.00229891,0.0037588,0,-2.49523,1.41767,0,0.00230166,0.00376489,0,-2.48418,1.46225,0,-0.0317826,0.000494406
1.81337,-1.74854e-07,-0.000134186,0,6.12876e-05,-0.000113057,0,0.00246601,0.00365286,0,-2.42351,1.54653,0,0.00246974,0.00365841,0,-2.42357,1.54656,0,-0.0337423,6.46227e-05
1.87644,-3.06459e-08,-0.000138676,0,-5.03564e-05,-2.00916e-05,0,-0.00323139,-0.00320817,0,1.99071,-2.12806,0,-0.00323795,-0.0032095,0,1.99185,-2.13123,0,-0.0337279,0.00236423
1.93855,-2.26342e-07,-0.000143331,0,-9.76228e-06,-0.00014563,0,0.00450142,-0.000747452,0,0.384099,2.83366,0,0.00450639,-0.00075192,0,0.387976,2.8356,0,-0.0337228,0.00256005
2.0007,-5.32232e-08,-0.000148038,0,6.22963e-05,-3.48218e-05,0,-0.00234199,0.00365589,0,-2.46035,-1.53612,0,-0.00234176,0.00366257,0,-2.46651,-1.55819,0,-0.032583,0.00247111
2.06139,-6.90211e-09,-0.000152391,0,-2.53572e-05,-4.53469e-06,0,-0.00417025,-0.00169482,0,1.00261,-2.74412,0,-0.00417693,-0.00169458,0,1.00282,-2.74553,0,-0.0337405,0.00169156
2.11768,-6.79656e-08,-0.000156696,0,6.72552e-05,-4.44028e-05,0,-0.00175953,0.00395625,0,-2.65855,-1.17249,0,-0.00175829,0.00396282,0,-2.6605,-1.16409,0,-0.0331454,0.00249174
2.18024,-9.55023e-08,-0.000161106,0,-7.23267e-05,-6.22238e-05,0,-0.000668013,-0.00459588,0,2.85785,-0.461177,0,-0.000671993,-0.00460125,0,2.86229,-0.465982,0,-0.0336947,0.002104
2.23871,-8.66048e-08,-0.000165432,0,-7.12221e-05,-5.6475e-05,0,-0.001023,-0.0045282,0,2.81528,-0.692563,0,-0.00102069,-0.00453447,0,2.8175,-0.689254,0,-0.03373,0.00246452
2.29826,-1.54065e-07,-0.000169839,0,-6.81087e-05,-9.98171e-05,0,0.00164534,-0.00436885,0,2.68901,1.02475,0,0.00164626,-0.00437547,0,2.69754,1.02125,0,-0.0337422,0.00105185
2.36148,-9.40907e-08,-0.000174732,0,7.21747e-05,-6.13138e-05,0,-0.000723857,0.00425115,0,-2.85885,-0.487325,0,-0.000727789,0.00425655,0,-2.84927,-0.511804,0,-0.0335268,0.00201861
2.42243,-8.73599e-10,-0.000179113,0,-9.14993e-06,-5.74192e-07,0,-0.0044087,-0.000734494,0,0.361777,-2.89705,0,-0.00441526,-0.00073576,0,0.361869,-2.90582,0,-0.033684,0.000289722
2.48597,-2.25995e-07,-0.000183843,0,1.12663e-05,-0.000145411,0,0.00448768,0.000514258,0,-0.444781,2.82456,0,0.00449267,0.000518698,0,-0.446241,2.82732,0,-0.0337278,0.00245891
2.54254,-1.60897e-07,-0.000187905,0,-6.62371e-05,-0.000104175,0,0.00191399,-0.00427466,0,2.61918,1.19519,0,0.00191794,-0.00428006,0,2.61935,1.19551,0,-0.0337422,0.000869393
2.6046,-1.6903e-07,-0.000192697,0,6.35454e-05,-0.000109352,0,0.00223599,0.00373176,0,-2.51291,1.39977,0,0.00223915,0.00373765,0,-2.51274,1.40029,0,-0.0337422,0.000116098
2.66451,-7.65647e-08,-0.000197135,0,6.93722e-05,-4.99787e-05,0,-0.00141636,0.00405013,0,-2.7409,-0.945896,0,-0.00142137,0.00405455,0,-2.74557,-0.949694,0,-0.033694,0.00224805
2.72423,-1.47003e-08,-0.000201499,0,3.63162e-05,-9.65591e-06,0,-0.00386343,0.00200702,0,-1.43373,-2.53967,0,-0.00386701,0.00201266,0,-1.43843,-2.54495,0,-0.0337205,0.00207506
2.78819,-2.2505e-07,-0.00020615,0,-1.45816e-05,-0.000144817,0,0.00444969,-0.00111299,0,0.579493,2.80087,0,0.00445589,-0.0011105,0,0.573726,2.80407,0,-0.0337291,0.0024978
2.84994,-8.62143e-08,-0.00021085,0,7.11532e-05,-5.62246e-05,0,-0.00103494,0.00414945,0,-2.81018,-0.700372,0,-0.00103963,0.00415421,0,-2.81715,-0.701252,0,-0.0337332,0.00232187
2.91366,-1.59261e-07,-0.000215347,0,-6.67165e-05,-0.000103133,0,0.00185008,-0.00433055,0,2.63812,1.15418,0,0.00185246,-0.0043368,0,2.63832,1.15403,0,-0.0337421,0.000268456
2.97869,-1.72725e-09,-0.00022028,0,1.28396e-05,-1.13699e-06,0,-0.00437488,0.000560703,0,-0.505321,-2.87499,0,-0.00438156,0.000560838,0,-0.510131,-2.88337,0,-0.033723,0.00069231
3.04694,-3.68762e-09,-0.000225335,0,1.86747e-05,-2.42591e-06,0,-0.00429737,0.000910935,0,-0.761317,-2.82555,0,-0.00430404,0.000910555,0,-0.715615,-2.83087,0,-0.0330079,0.00137859
3.10715,-3.3595e-08,-0.000229678,0,-5.23132e-05,-2.20178e-05,0,-0.00311488,-0.00341881,0,2.05893,-2.05319,0,-0.00312123,-0.00342089,0,2.07839,-2.05376,0,-0.0337418,0.00205905
3.16805,-1.86798e-07,-0.000234175,0,-5.56228e-05,-0.000120645,0,0.00293966,-0.00367342,0,2.19814,1.84561,0,0.00294065,-0.00368003,0,2.20092,1.84764,0,-0.0337407,0.00239594
3.23185,-2.59063e-08,-0.000239052,0,4.68709e-05,-1.69969e-05,0,-0.00341936,0.00261619,0,-1.84798,-2.25065,0,-0.00342482,0.00262005,0,-1.85892,-2.25339,0,-0.0337151,0.000357849
3.29936,-7.74051e-08,-0.000244079,0,6.95505e-05,-5.05237e-05,0,-0.00138523,0.00401349,0,-2.74587,-0.928253,0,-0.00138604,0.00402012,0,-2.75471,-0.924239,0,-0.0337216,0.000858729
3.36819,-4.68708e-08,-0.000249154,0,5.95522e-05,-3.06862e-05,0,-0.00259034,0.00338651,0,-2.35444,-1.70635,0,-0.00259581,0.00339036,0,-2.3554,-1.71505,0,-0.0337331,0.00147988
3.43499,-1.56158e-07,-0.000254107,0,6.75611e-05,-0.000101149,0,0.00172634,0.003914,0,-2.66914,1.07263,0,0.00173073,0.00391904,0,-2.6741,1.07867,0,-0.0336665,0.00143775
3.50157,-2.27283e-07,-0.000258929,0,3.01739e-06,-0.000146222,0,0.00453821,-6.93177e-05,0,-0.128649,2.86174,0,0.00454399,-7.26852e-05,0,-0.109989,2.85429,0,-0.0337386,0.00245015
3.56729,-1.04448e-07,-0.00026367,0,-7.29675e-05,-6.79938e-05,0,-0.000317664,-0.00474095,0,2.88414,-0.235207,0,-0.000314849,-0.00474701,0,2.88668,-0.235618,0,-0.0337367,0.00217394
3.63037,-1.54081e-07,-0.000268554,0,6.80951e-05,-9.98234e-05,0,0.00164455,0.00393145,0,-2.6936,1.0216,0,0.00164829,0.00393699,0,-2.69187,1.0249,0,-0.0336245,0.000985136
3.68914,-1.41956e-07,-0.000272904,0,7.06419e-05,-9.20757e-05,0,0.00116689,0.00407866,0,-2.78952,0.714292,0,0.00116701,0.00408534,0,-2.79737,0.71946,0,-0.03372,0.00108578
3.7571,-1.69837e-07,-0.000277918,0,6.32482e-05,-0.000109864,0,0.00226863,0.00362844,0,-2.4965,1.42231,0,0.00227034,0.0036349,0,-2.50565,1.41829,0,-0.0337134,0.00119117
