t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3,energy,distance
2.49794,-1.14157e-07,-0.000184825,0,7.3129e-05,-7.42449e-05,0,6.56993e-05,0.00430835,0,-2.88893,0.0120706,0,6.96447e-05,0.00431374,0,-2.89466,0.0114904,0,-0.0337318,0.0025989
2.58719,-2.74499e-08,-0.000191384,0,4.8055e-05,-1.8006e-05,0,-0.0033578,0.00273754,0,-1.89869,-2.20907,0,-0.00336431,0.00273906,0,-1.90186,-2.21516,0,-0.0336694,0.00208805
2.67644,-1.58374e-09,-0.000197891,0,-1.22985e-05,-1.04054e-06,0,-0.00438057,-0.000945643,0,0.490452,-2.88302,0,-0.00438723,-0.000945059,0,0.482208,-2.88297,0,-0.0337421,0.00112759
2.76567,-5.51548e-08,-0.000204411,0,-6.30588e-05,-3.60747e-05,0,-0.00226362,-0.00405527,0,2.49294,-1.49091,0,-0.00226737,-0.0040608,0,2.49422,-1.50432,0,-0.0336897,0.000283195
2.85493,-1.50726e-07,-0.000211001,0,-6.8907e-05,-9.76851e-05,0,0.00151143,-0.00445864,0,2.7295,0.932874,0,0.00151603,-0.00446349,0,2.72018,0.944512,0,-0.033742,0.00182498
2.94359,-1.96517e-07,-0.000217587,0,-4.97061e-05,-0.000126804,0,0.00332365,-0.0032936,0,1.96351,2.09219,0,0.00332537,-0.00330006,0,1.96761,2.08816,0,-0.0336696,0.002419
3.0328,-2.27043e-07,-0.00022427,0,5.58586e-06,-0.00014607,0,0.00452856,0.000121802,0,-0.221215,2.84777,0,0.00453463,0.000124597,0,-0.220557,2.85626,0,-0.0337336,0.00157954
3.12206,-1.80922e-07,-0.000230953,0,5.85953e-05,-0.00011691,0,0.00270574,0.00339213,0,-2.3231,1.69126,0,0.00270987,0.00339738,0,-2.31106,1.70662,0,-0.0337416,0.000110924
3.21131,-8.71045e-08,-0.000237572,0,7.12869e-05,-5.68005e-05,0,-0.0010025,0.00413046,0,-2.81547,-0.681432,0,-0.00100167,0.00413709,0,-2.82243,-0.674645,0,-0.0337288,0.00154325
3.30054,-1.27913e-08,-0.000244111,0,3.4034e-05,-8.40405e-06,0,-0.00393737,0.00182816,0,-1.34734,-2.59046,0,-0.00394405,0.00182778,0,-1.34432,-2.59317,0,-0.0336977,0.00229547
3.38976,-7.99198e-09,-0.000250614,0,-2.72158e-05,-5.2495e-06,0,-0.00412722,-0.00190666,0,1.07953,-2.71528,0,-0.00413377,-0.00190533,0,1.0729,-2.71783,0,-0.0337155,0.0024455
